Time_Step,Simulated_MSD,Theoretical_MSD
551,1119.8428063617139,1102.0
552,1123.0397890336337,1104.0
553,1118.488011742295,1106.0
554,1119.7562574773426,1108.0
555,1126.432994448191,1110.0
556,1129.831129784735,1112.0
557,1135.0504519482993,1114.0
558,1138.7485918775171,1116.0
559,1142.358820794479,1118.0
560,1138.7345177885584,1120.0
561,1141.184988293494,1122.0
562,1143.3699184984514,1124.0
563,1146.5301574042815,1126.0
564,1152.7144587353712,1128.0
565,1153.311191899889,1130.0
566,1152.6896780664074,1132.0
567,1151.55226894755,1134.0
568,1148.5414304215203,1136.0
569,1148.5801803253585,1138.0
570,1149.7446229870156,1140.0
571,1149.9801658498434,1142.0
572,1153.373258635324,1144.0
573,1161.1907538664739,1146.0
574,1161.088317304011,1148.0
575,1164.564048434895,1150.0
576,1169.5839140756843,1152.0
577,1165.5785886818041,1154.0
578,1163.002746878978,1156.0
579,1168.1280110761638,1158.0
580,1168.4864381537275,1160.0
581,1164.7992032427014,1162.0
582,1163.8208170858777,1164.0
583,1159.3708887887467,1166.0
584,1160.3544996356773,1168.0
585,1166.516189208576,1170.0
586,1163.3738484611224,1172.0
587,1165.0921466781851,1174.0
588,1169.2259768999718,1176.0
589,1178.0545104002047,1178.0
590,1179.0130994408842,1180.0
591,1180.3591391503617,1182.0
592,1190.7017042694367,1184.0
593,1190.9588790222435,1186.0
594,1191.8740392020745,1188.0
595,1195.3926358236645,1190.0
596,1200.551146522954,1192.0
597,1199.2881006519008,1194.0
598,1199.948108595882,1196.0
599,1207.537685067329,1198.0
600,1211.5296502125157,1200.0
601,1213.96708301705,1202.0
602,1212.7672795400752,1204.0
603,1217.446257061997,1206.0
604,1218.972453031494,1208.0
605,1223.7708852994938,1210.0
606,1223.9294329887632,1212.0
607,1230.857668236838,1214.0
608,1237.3963402146169,1216.0
609,1235.83595808314,1218.0
610,1241.1176006212484,1220.0
611,1241.0789530589657,1222.0
612,1246.2498565012513,1224.0
613,1244.8282405071066,1226.0
614,1244.1807133413952,1228.0
615,1247.328404643951,1230.0
616,1249.1230119191473,1232.0
617,1250.0599353946304,1234.0
618,1255.358896169218,1236.0
619,1255.4980877859446,1238.0
620,1258.8212277137866,1240.0
621,1258.3243070920507,1242.0
622,1254.4145974137289,1244.0
623,1257.800743257699,1246.0
624,1265.826962937155,1248.0
625,1268.93552528522,1250.0
626,1269.4307963494532,1252.0
627,1270.562739689111,1254.0
628,1268.9246423634213,1256.0
629,1268.0152267637127,1258.0
630,1270.2422239059968,1260.0
631,1273.3990087205113,1262.0
632,1280.1674203602884,1264.0
633,1283.5666926918907,1266.0
634,1284.0155012393896,1268.0
635,1284.3551244007854,1270.0
636,1289.7257469986803,1272.0
637,1289.1134756963654,1274.0
638,1289.8544441964498,1276.0
639,1292.3684568439571,1278.0
640,1299.631013667256,1280.0
641,1303.826606269446,1282.0
642,1309.2575500773792,1284.0
643,1314.190892071586,1286.0
644,1312.6223831425361,1288.0
645,1310.525050904223,1290.0
646,1314.2246426531942,1292.0
647,1312.9818328851425,1294.0
648,1316.9622947684852,1296.0
649,1322.0958734514943,1298.0
650,1317.0690724785065,1300.0
651,1317.9223140085107,1302.0
652,1314.981416374253,1304.0
653,1317.4865565343928,1306.0
654,1318.0201999668134,1308.0
655,1317.3197621046347,1310.0
656,1316.3055641739847,1312.0
657,1319.9492688625714,1314.0
658,1323.6618355136425,1316.0
659,1327.7687812710767,1318.0
660,1333.6477461453753,1320.0
661,1333.9692603078981,1322.0
662,1336.4256093510767,1324.0
663,1335.9956163272764,1326.0
664,1334.8311443664356,1328.0
665,1339.4986933768791,1330.0
666,1350.0094047189216,1332.0
667,1351.1452597408847,1334.0
668,1351.53046423966,1336.0
669,1354.888943415,1338.0
670,1359.6345314741095,1340.0
671,1360.5980167404828,1342.0
672,1366.806281952924,1344.0
673,1367.7417139415234,1346.0
674,1373.603071968328,1348.0
675,1376.7478842670994,1350.0
676,1375.6306557523646,1352.0
677,1372.1035339668338,1354.0
678,1374.2771638868933,1356.0
679,1373.35013451124,1358.0
680,1375.3399684257145,1360.0
681,1378.1161815596954,1362.0
682,1379.5473988681313,1364.0
683,1382.081610195601,1366.0
684,1383.3892220440205,1368.0
685,1385.071308271804,1370.0
686,1387.3841573890686,1372.0
687,1385.5352717974204,1374.0
688,1389.9369006029553,1376.0
689,1398.4944173049732,1378.0
690,1404.9365227232909,1380.0
691,1400.9670227540582,1382.0
692,1404.6479591270995,1384.0
693,1405.556375381773,1386.0
694,1407.8831637767032,1388.0
695,1410.9058259059968,1390.0
696,1410.0978727190775,1392.0
697,1412.3171931655838,1394.0
698,1417.2053972322674,1396.0
699,1419.2930624409657,1398.0
700,1418.8981502886627,1400.0
701,1428.2085764558385,1402.0
702,1426.3699185117605,1404.0
703,1428.402967144558,1406.0
704,1432.642900056075,1408.0
705,1430.7908320748027,1410.0
706,1428.3267896849209,1412.0
707,1424.3270269049644,1414.0
708,1424.8183230929294,1416.0
709,1426.4198463692906,1418.0
710,1426.3907579682214,1420.0
711,1425.986798448183,1422.0
712,1426.1277316618298,1424.0
713,1428.6545220537355,1426.0
714,1424.9722377330481,1428.0
715,1432.6498821752323,1430.0
716,1439.6793264852852,1432.0
717,1443.221402737759,1434.0
718,1443.3576903789317,1436.0
719,1445.9182053089007,1438.0
720,1449.5958767348213,1440.0
721,1448.3689805565114,1442.0
722,1451.285509621957,1444.0
723,1454.0557478021499,1446.0
724,1457.3528673765916,1448.0
725,1458.9761468594638,1450.0
726,1458.6280068771364,1452.0
727,1459.1610369791586,1454.0
728,1465.5444105298125,1456.0
729,1464.6092328100256,1458.0
730,1466.2214320245541,1460.0
731,1466.4275846265423,1462.0
732,1466.0272710039487,1464.0
733,1469.4950529007006,1466.0
734,1471.4309537382303,1468.0
735,1476.3439387897556,1470.0
736,1483.241241567054,1472.0
737,1486.6410587748712,1474.0
738,1488.4398039956554,1476.0
739,1489.014168593595,1478.0
740,1491.2997106314415,1480.0
741,1498.2032259362668,1482.0
742,1500.2762298554937,1484.0
743,1499.2769672627724,1486.0
744,1500.915466335419,1488.0
745,1502.7337163556567,1490.0
746,1498.723553128503,1492.0
747,1501.4222991603094,1494.0
748,1502.9660937287476,1496.0
749,1511.6164432950457,1498.0
750,1511.9459619049467,1500.0
751,1509.5145918813246,1502.0
752,1512.6820564049513,1504.0
753,1509.00718833124,1506.0
754,1512.6594917200366,1508.0
755,1519.4877619880483,1510.0
756,1520.3082699138606,1512.0
757,1525.1935270217944,1514.0
758,1526.6954536526664,1516.0
759,1524.2928694776733,1518.0
760,1529.043077291025,1520.0
761,1530.5749522660344,1522.0
762,1529.1243403762387,1524.0
763,1535.2583293256137,1526.0
764,1539.8025933934869,1528.0
765,1541.1472481838637,1530.0
766,1544.8636163009946,1532.0
767,1548.7674445262237,1534.0
768,1550.008475305315,1536.0
769,1559.2608024539468,1538.0
770,1566.3829979510706,1540.0
771,1568.455045362868,1542.0
772,1566.8846798946443,1544.0
773,1569.878224625521,1546.0
774,1567.309941761912,1548.0
775,1566.7871503123497,1550.0
776,1572.1539307453638,1552.0
777,1573.7122085552292,1554.0
778,1572.184963498947,1556.0
779,1580.9516578975056,1558.0
780,1583.935076740203,1560.0
781,1586.4235034801995,1562.0
782,1592.5536664158676,1564.0
783,1588.9140435087843,1566.0
784,1594.06509653332,1568.0
785,1594.9115704049145,1570.0
786,1594.701437770868,1572.0
787,1602.5148573948077,1574.0
788,1608.572549222459,1576.0
